userid,movieid,tagid
252,1161,69
252,1387,12
252,1502,16
252,1502,4
252,1552,-1
252,1581,61
252,1581,16
252,1581,4
252,1609,16
252,1678,16
252,1678,29
252,1918,16
275,69,270
275,69,0
275,69,84
275,150,0
275,241,12
275,241,0
275,320,61
275,320,16
275,372,0
275,372,45
275,417,61
275,417,45
275,800,45
275,863,45
275,1146,12
275,1146,0
275,1213,16
275,1284,61
275,1284,45
275,1406,61
275,1724,108
275,1801,16
275,1849,-1
280,94,14
280,94,8
280,100,14
280,100,45
280,133,135
280,133,4
280,133,18
280,200,4
280,200,18
280,200,45
280,243,45
280,243,4
280,243,18
280,243,69
280,448,14
280,448,51
280,538,460
280,650,4
280,650,51
280,844,14
280,1025,51
280,1166,14
280,1166,4
280,1166,8
280,1166,45
280,1251,-1
280,1469,4
280,1469,8
280,1469,45
280,1653,4
280,1885,104
283,2,4
283,2,18
283,3,6
283,3,4
283,16,6
283,16,4
283,226,4
283,226,18
283,226,15
283,310,-1
283,448,14
283,607,135
283,607,4
283,607,18
283,720,4
283,860,4
283,945,-1
283,1387,6
283,1387,14
283,1395,135
283,1395,4
283,1415,14
283,1911,14
283,1935,14
283,1935,15
285,58,0
285,270,14
285,270,84
285,562,61
285,562,51
285,620,61
285,620,72
285,620,14
285,832,14
285,832,51
285,911,61
285,911,14
285,911,51
285,953,14
285,953,13
285,953,51
285,1279,14
285,1279,150
285,1279,0
285,1279,84
285,1395,84
285,1429,14
285,1429,0
285,1429,56
285,1558,84
285,1616,318
285,1867,14
285,1867,72
285,1868,-1
285,2015,72
285,2015,51
285,2015,56
295,60,14
295,60,16
295,60,72
295,165,4
295,165,16
295,165,72
295,178,14
295,178,4
295,178,56
295,413,14
295,413,56
295,415,14
295,415,4
295,415,56
295,529,16
295,529,72
295,747,16
295,747,4
295,1086,14
295,1086,8
295,1257,-1
295,1327,14
295,1453,4
295,1471,-1
295,1678,16
295,1678,72
295,1702,4
295,1746,56
311,144,318
311,199,45
311,199,18
311,199,15
311,253,61
311,253,45
311,253,51
311,277,61
311,422,45
311,655,61
311,975,61
311,975,45
311,975,15
311,1167,61
311,1167,45
311,1167,15
311,1242,54
311,1242,51
311,1454,61
311,1454,51
311,1516,14
311,1516,15
311,1665,54
311,1665,18
311,1665,51
311,1701,14
311,1726,14
311,1764,61
311,1764,45
311,1764,51
349,55,14
349,55,4
349,132,4
349,206,14
349,206,4
349,460,8
349,678,4
349,841,14
349,906,8
349,1122,14
349,1122,4
349,1122,18
349,1294,15
349,1445,4
349,1478,4
349,1661,4
349,1665,18
349,1665,8
349,1882,14
349,1917,4
353,19,51
353,727,51
353,751,-1
353,1115,61
353,1115,51
353,1156,-1
353,1171,-1
353,1260,115
353,1451,51
353,1605,61
353,1605,318
353,1668,51
353,1802,8
353,1802,51
353,1818,120
353,1818,61
353,1818,153
353,1890,902
353,1890,8
353,1890,51
353,2000,61
353,2000,67
353,2003,8
354,19,4
354,19,45
354,101,-1
354,162,4
354,162,0
354,162,45
354,216,-1
354,413,-1
354,598,4
354,598,45
354,677,4
354,677,0
354,677,45
354,732,45
354,1071,-1
354,1223,288
354,1223,4
354,1362,4
354,1362,45
354,1619,8
354,1619,45
354,1627,4
354,1627,45
354,1696,4
354,1696,55
354,1696,45
354,1998,-1
373,35,-1
373,68,72
373,238,4
373,238,45
373,238,51
373,306,4
373,340,4
373,340,45
373,579,8
373,592,72
373,592,8
373,592,29
373,666,4
373,666,72
373,732,72
373,732,45
373,1056,4
373,1056,45
373,1056,29
373,1515,595
373,1627,4
373,1627,45
373,1627,29
373,1636,51
373,1741,4
373,1741,72
373,1838,-1
382,479,12
382,479,8
382,479,14
382,493,12
382,493,8
382,493,14
382,634,15
382,659,12
382,659,4
382,659,0
382,659,14
382,707,14
382,769,14
382,769,0
382,885,6
382,885,4
382,1043,4
382,1043,0
382,1200,14
382,1301,14
382,1301,4
382,1301,0
382,1373,14
382,1373,4
382,1373,56
382,1477,0
382,1477,318
382,1489,14
382,1489,115
382,1509,123
382,1509,14
382,1509,56
382,1510,4
382,1510,15
383,150,4
383,239,4
383,244,4
383,244,8
383,270,14
383,270,4
383,383,-1
383,432,327
383,438,14
383,438,4
383,622,4
383,830,14
383,830,13
383,979,14
383,979,4
383,996,16
383,1142,14
383,1142,8
383,1646,16
383,1646,4
383,1646,8
383,1787,14
383,1929,-1
391,7,51
391,128,-1
391,149,14
391,311,6
391,328,4
391,550,14
391,550,4
391,593,-1
391,773,-1
391,871,51
391,889,-1
391,1095,123
391,1095,4
391,1347,-1
391,1627,4
391,1838,-1
391,1870,51
414,13,14
414,13,4
414,13,45
414,13,56
414,76,61
414,76,14
414,79,61
414,79,14
414,192,4
414,192,45
414,230,61
414,230,4
414,230,45
414,230,51
414,572,61
414,572,79
414,572,738
414,572,318
414,597,54
414,597,51
414,850,61
414,850,16
414,850,4
414,850,51
414,1354,14
414,1354,4
414,1354,45
414,1383,-1
414,1545,79
414,1545,16
414,1545,72
414,1719,61
414,1886,4
414,1886,61
414,1886,16
414,1886,72
414,1951,-1
414,1955,4
414,1955,45
424,72,135
424,72,4
424,72,45
424,312,79
424,364,-1
424,480,4
424,480,45
424,665,4
424,665,79
424,701,-1
424,728,-1
424,751,4
424,751,45
424,1009,61
424,1009,282
424,1187,61
424,1187,4
424,1275,61
424,1275,4
424,1275,45
424,1308,72
424,1308,45
424,1555,61
424,1555,4
424,1555,45
424,1596,4
424,1596,55
424,1861,273
438,76,14
438,76,0
438,251,14
438,251,7
438,251,0
438,269,4
438,269,104
438,269,7
438,269,0
438,269,14
438,331,4
438,362,14
438,362,4
438,374,104
438,374,14
438,376,14
438,376,4
438,388,4
438,388,0
438,409,4
438,541,14
438,541,4
438,541,54
438,969,14
438,969,0
438,1227,104
438,1227,7
438,1583,-1
438,1985,-1
438,2020,-1
446,485,14
446,485,4
446,485,595
446,485,13
446,537,61
446,537,595
446,623,1195
446,852,14
446,852,4
446,971,14
446,1239,14
446,1239,4
446,1239,39
446,1242,52
446,1342,4
446,1545,16
446,1634,61
446,1634,4
446,1634,14
446,1658,-1
446,1704,4
446,1766,14
446,1766,16
446,1880,4
446,1880,153
446,1913,61
446,1913,4
463,266,61
463,266,72
463,266,18
463,357,270
463,357,18
463,357,29
463,709,72
463,709,51
463,926,61
463,926,72
463,1142,8
463,1171,270
463,1171,0
463,1171,29
463,1242,72
463,1242,0
463,1242,51
463,1526,61
463,1526,8
463,1546,18
463,1546,8
463,1546,51
463,1589,18
463,1589,0
463,1598,-1
463,1660,-1
463,1827,61
463,1827,18
463,1831,126
463,1831,61
463,1831,72
463,1831,0
463,1988,0
467,113,14
467,180,-1
467,235,14
467,491,244
467,491,61
467,491,4
467,491,0
467,493,14
467,493,8
467,786,52
467,786,84
467,791,244
467,809,14
467,809,290
467,1057,61
467,1057,4
467,1062,4
467,1062,8
467,1174,52
467,1333,4
467,1333,84
467,1392,61
467,1410,4
467,1410,9
467,1728,-1
502,52,-1
502,260,4
502,326,-1
502,457,-1
502,494,4
502,643,4
502,816,-1
502,930,16
502,942,4
502,942,197
502,1209,51
502,1310,-1
502,1366,16
502,1551,-1
502,1637,16
502,1637,51
502,1923,4
505,339,-1
505,342,4
505,379,14
505,379,56
505,399,135
505,399,4
505,471,14
505,487,4
505,487,13
505,583,61
505,583,4
505,897,-1
505,935,4
505,1234,14
505,1234,13
505,1234,56
505,1387,14
505,1487,61
505,1488,-1
505,1816,61
505,2005,-1
560,39,56
560,71,4
560,71,18
560,156,4
560,384,0
560,384,4
560,384,18
560,384,15
560,855,54
560,1002,54
560,1081,-1
560,1112,61
560,1112,4
560,1112,56
560,1375,4
560,1868,4
560,1868,153
560,1920,4
560,1920,15
560,1940,4
560,1940,0
560,1989,-1
560,2015,54
560,2015,56
560,2019,4
560,2019,56
569,9,4
569,64,4
569,64,45
569,209,4
569,209,45
569,250,4
569,250,45
569,261,4
569,261,45
569,528,4
569,528,45
569,546,290
569,709,53
569,1129,4
569,1377,-1
569,1616,-1
569,1696,4
569,1696,45
569,1730,-1
569,1740,4
569,1740,45
569,1919,4
598,63,-1
598,212,-1
598,345,4
598,508,4
598,520,72
598,637,392
598,637,4
598,648,-1
598,717,1195
598,792,-1
598,1079,4
598,1079,86
598,1134,4
598,1134,318
598,1166,4
598,1180,63
598,1180,4
598,1781,4
598,1781,318
598,1914,72
605,111,-1
605,266,61
605,266,4
605,266,45
605,330,61
605,330,14
605,366,4
605,415,14
605,415,4
605,415,45
605,510,52
605,510,84
605,526,4
605,563,14
605,973,6
605,1111,14
605,1111,4
605,1111,45
605,1131,52
605,1131,14
605,1131,84
605,1131,51
605,1232,-1
605,1318,6
605,1318,51
605,1318,12
605,1553,6
605,1553,4
605,1553,45
605,1773,-1
612,158,61
612,158,4
612,189,4
612,189,45
612,296,27
612,337,14
612,564,61
612,584,14
612,843,52
612,843,4
612,843,27
612,843,45
612,884,4
612,884,45
612,1036,4
612,1036,45
612,1228,4
612,1259,61
612,1259,4
612,1259,45
612,1259,14
612,1266,61
612,1356,52
612,1437,4
612,1437,49
612,1697,-1
613,246,0
613,486,7
613,486,0
613,649,7
613,672,7
613,1024,-1
613,1048,229
613,1263,0
613,1367,7
613,1411,7
613,1442,61
613,1442,0
613,1442,51
613,1502,-1
613,1631,135
613,1723,0
613,1842,61
613,1853,61
621,91,-1
621,153,4
621,153,0
621,296,288
621,372,4
621,372,0
621,372,45
621,405,4
621,405,45
621,405,84
621,405,7
621,405,0
621,405,86
621,510,288
621,510,16
621,510,84
621,674,4
621,674,18
621,674,45
621,919,18
621,961,288
621,961,0
621,997,4
621,1329,0
621,1348,4
621,1901,16
621,1901,0
621,1921,4
621,1921,0
621,1921,45
621,1990,4
625,322,4
625,431,4
625,431,51
625,525,4
625,901,51
625,1033,4
625,1033,84
625,1033,51
625,1042,51
625,1205,-1
625,1227,104
625,1332,4
625,1332,8
625,1365,72
625,1365,15
625,1505,8
625,1505,69
625,1538,4
625,1629,72
625,1629,51
625,1852,4
625,1852,72
625,1852,15
625,1865,69
627,590,56
627,606,14
627,606,1253
627,705,16
627,1001,14
627,1036,4
627,1053,14
627,1088,14
627,1281,4
627,1484,14
627,1484,16
627,1603,-1
627,1745,14
627,1745,4
627,1830,16
627,1830,100
627,1830,56
627,1898,100
627,1980,61
627,1980,14
627,1984,16
627,1984,4
631,30,129
631,557,4
631,842,8
631,857,56
631,857,197
631,945,-1
631,995,4
631,1029,135
631,1055,56
631,1214,4
631,1214,8
631,1371,197
631,1486,4
631,1486,197
631,1567,4
631,1748,-1
631,1979,4
631,2013,4
651,67,-1
651,184,0
651,184,4
651,184,45
651,184,15
651,252,4
651,252,45
651,354,0
651,354,15
651,580,4
651,580,0
651,580,45
651,580,29
651,796,4
651,796,45
651,805,421
651,805,4
651,889,-1
651,919,-1
651,978,221
651,1042,0
651,1047,4
651,1047,221
651,1331,-1
651,1687,4
651,1687,45
651,1687,15
651,1687,153
651,1956,4
651,1956,15
657,17,14
657,152,14
657,152,4
657,152,23
657,219,14
657,219,4
657,219,45
657,352,4
657,352,7
657,382,4
657,382,18
657,382,23
657,453,109
657,453,14
657,453,318
657,499,109
657,499,4
657,499,7
657,499,45
657,872,-1
657,999,109
657,999,14
657,1009,12
657,1009,13
657,1019,15
657,1142,14
657,1197,14
657,1249,14
657,1448,23
657,1448,15
661,84,4
661,150,4
661,150,18
661,420,4
661,420,45
661,420,29
661,585,327
661,842,-1
661,844,327
661,888,16
661,888,4
661,993,-1
661,1140,4
661,1140,45
661,1194,4
661,1194,45
661,1194,51
661,1311,-1
661,1485,18
661,1485,13
661,1539,29
661,1663,4
661,1663,45
661,1677,45
661,1677,51
665,9,0
665,9,28
665,123,52
665,177,18
665,177,0
665,205,18
665,205,45
665,205,309
665,222,45
665,222,153
665,418,56
665,736,0
665,736,45
665,834,52
665,930,-1
665,958,-1
665,1109,52
665,1336,-1
665,1353,45
665,1353,28
665,1432,-1
665,1914,-1
669,110,14
669,118,14
669,243,-1
669,426,-1
669,977,14
669,987,-1
669,1164,61
669,1367,14
669,1380,288
669,1398,-1
669,1466,-1
669,1686,288
669,1896,14
669,1910,61
669,1910,14
669,1965,51
672,15,13
672,242,4
672,242,45
672,403,-1
672,405,14
672,405,4
672,405,45
672,405,84
672,458,4
672,458,45
672,530,4
672,530,13
672,530,45
672,530,51
672,644,4
672,644,45
672,754,4
672,754,45
672,754,84
672,754,29
672,1116,4
672,1116,45
672,1116,51
672,1116,29
672,1144,4
672,1144,45
672,1218,4
672,1250,16
672,1251,13
672,1433,6
672,1433,51
672,1634,14
672,1634,4
672,1634,45
674,509,-1
674,527,4
674,586,16
674,586,4
674,666,16
674,666,4
674,758,-1
674,945,61
674,945,16
674,1241,53
674,1391,4
674,1446,16
674,1548,837
674,1548,4
674,1560,61
674,1560,304
674,1560,837
674,1597,61
674,1673,563
674,1695,53
674,1695,8
674,1895,53
685,249,61
685,249,4
685,249,45
685,516,318
685,518,61
685,518,4
685,518,18
685,518,45
685,623,0
685,623,51
685,630,69
685,657,170
685,681,61
685,681,4
685,681,45
685,681,318
685,694,1372
685,694,61
685,694,4
685,694,45
685,1103,61
685,1103,4
685,1103,45
685,1104,51
685,1242,0
685,1242,51
685,1254,4
685,1254,45
685,1538,0
685,1538,4
685,1538,18
685,1538,45
685,1695,51
685,1745,4
685,1745,45
718,40,61
718,40,4
718,40,45
718,77,4
718,77,45
718,266,61
718,266,4
718,266,45
718,310,61
718,310,16
718,310,45
718,637,4
718,781,4
718,781,45
718,919,-1
718,947,318
718,1135,-1
718,1209,52
718,1304,-1
718,1431,4
718,1431,45
718,1550,16
718,1550,318
718,1689,4
718,1689,45
718,1716,52
718,1716,4
719,339,72
719,368,-1
719,406,4
719,406,0
719,519,61
719,519,4
719,519,18
719,650,142
719,650,61
719,650,4
719,650,0
719,956,61
719,956,72
719,1011,61
719,1011,4
719,1011,282
719,1046,18
719,1063,-1
719,1071,61
719,1071,72
719,1104,-1
719,1373,4
719,1581,61
719,1581,4
719,1581,72
719,1780,4
719,1780,18
719,1780,29
719,1795,61
725,21,4
725,21,0
725,21,45
725,46,61
725,46,4
725,46,14
725,319,0
725,319,16
725,319,4
725,319,45
725,426,4
725,426,95
725,427,61
725,489,7
725,528,61
725,528,4
725,528,45
725,528,0
725,528,14
725,556,4
725,556,45
725,741,14
725,756,0
725,756,4
725,756,7
725,756,45
725,802,120
725,802,4
725,802,0
725,802,45
725,909,61
725,909,16
725,1339,52
725,1339,14
725,1762,14
725,1762,16
725,1762,0
725,1939,-1
739,64,164
739,64,14
739,64,4
739,64,45
739,72,135
739,72,4
739,72,45
739,72,14
739,73,14
739,73,4
739,73,51
739,127,4
739,127,0
739,127,45
739,211,61
739,211,4
739,211,18
739,211,45
739,254,61
739,254,4
739,254,45
739,254,51
739,302,61
739,302,385
739,302,14
739,633,14
739,633,144
739,873,4
739,873,51
739,1157,61
739,1157,4
739,1292,-1
739,1299,61
739,1299,4
739,1299,18
739,1299,45
739,1501,4
739,1567,4
739,1567,95
739,1863,14
740,187,45
740,254,61
740,254,45
740,365,61
740,460,52
740,763,72
740,763,49
740,773,150
740,808,347
740,808,72
740,808,49
740,814,45
740,1302,-1
740,1322,52
740,1407,52
740,1416,-1
740,1930,72
740,1937,61
740,1937,45
740,1982,-1
745,5,4
745,30,16
745,142,4
745,142,45
745,324,4
745,354,12
745,374,12
745,497,12
745,497,55
745,497,9
745,721,61
745,721,4
745,721,109
745,1414,12
745,1414,61
745,1578,4
745,1578,153
745,1671,61
745,1671,4
745,1671,45
745,1725,4
745,1725,45
745,1774,-1
745,1788,61
745,1788,4
745,1788,45
745,1861,9
747,18,-1
747,253,4
747,253,8
747,278,-1
747,378,14
747,378,4
747,757,4
747,844,14
747,1163,14
747,1451,54
747,1608,4
747,1608,153
747,1722,14
747,1754,4
747,1775,14
747,1775,4
747,1775,197
747,1940,4
747,1959,15
747,1965,4
747,1965,27
776,38,8
776,107,14
776,107,16
776,107,267
776,199,-1
776,246,14
776,397,-1
776,475,14
776,475,16
776,758,-1
776,875,14
776,875,16
776,931,-1
776,1006,-1
776,1446,16
776,1603,-1
776,1658,-1
776,1727,-1
776,1755,14
781,322,4
781,410,-1
781,414,342
781,414,4
781,414,2
781,523,4
781,613,244
781,613,4
781,675,61
781,675,4
781,958,16
781,958,72
781,1166,61
781,1166,4
781,1166,8
781,1166,38
781,1450,61
781,1450,4
781,1689,4
781,1783,244
781,1783,4
781,1783,8
781,1843,16
781,1843,72
781,1959,61
781,1959,16
781,1959,72
781,1997,-1
781,2014,16
781,2014,72
811,7,-1
811,359,14
811,359,16
811,364,357
811,364,9
811,827,-1
811,895,14
811,1001,14
811,1057,4
811,1151,4
811,1182,14
811,1182,4
811,1209,-1
811,1338,16
811,1381,4
811,1611,14
811,1611,4
811,1740,4
811,1771,4
811,1771,9
846,125,4
846,125,18
846,125,45
846,299,18
846,299,4
846,299,31
846,299,45
846,393,4
846,646,4
846,646,18
846,757,4
846,757,45
846,757,84
846,855,-1
846,897,45
846,897,318
846,1031,4
846,1031,45
846,1034,61
846,1034,4
846,1207,4
846,1207,84
846,1207,318
846,1301,4
846,1301,45
846,1711,61
846,1711,9
846,1787,455
846,1882,-1
846,2000,61
846,2000,67
864,49,4
864,49,45
864,49,56
864,339,16
864,634,61
864,634,206
864,824,4
864,824,8
864,824,45
864,883,0
864,883,318
864,1090,61
864,1090,4
864,1090,45
864,1090,56
864,1182,4
864,1234,8
864,1234,56
864,1311,8
864,1311,58
864,1318,115
864,1462,16
864,1462,4
864,1462,45
864,1620,4
864,1620,0
864,1620,45
864,1620,58
864,1746,0
864,1746,58
864,1746,45
864,1746,56
864,1842,61
864,1842,4
864,1842,45
864,1842,56
864,1916,61
864,1916,56
864,1916,4
864,1916,45
864,1916,8
892,92,4
892,92,27
892,92,8
892,92,0
892,182,120
892,182,14
892,182,4
892,182,0
892,229,61
892,229,4
892,229,0
892,229,14
892,505,14
892,505,51
892,612,61
892,612,16
892,612,4
892,612,14
892,616,61
892,616,14
892,838,-1
892,1070,61
892,1070,0
892,1109,-1
892,1131,14
892,1131,69
892,1131,51
892,1139,51
892,1431,4
892,1552,-1
892,1767,4
892,1767,51
892,1841,69
913,160,14
913,160,8
913,167,0
913,167,45
913,270,14
913,270,45
913,270,29
913,382,29
913,446,-1
913,456,0
913,819,52
913,819,14
913,865,14
913,865,45
913,867,52
913,867,14
913,867,8
913,913,14
913,913,45
913,923,16
913,923,150
913,923,0
913,1033,14
913,1033,45
913,1033,29
913,1082,14
913,1082,45
913,1620,0
913,1620,45
913,1816,150
914,211,61
914,211,4
914,413,61
914,413,290
914,413,14
914,422,4
914,449,61
914,449,150
914,449,14
914,499,4
914,535,14
914,535,4
914,681,61
914,681,4
914,690,61
914,690,14
914,862,12
914,862,4
914,972,-1
914,1335,4
914,1497,14
914,1497,4
914,1497,46
914,1518,4
914,1846,61
914,1913,61
914,1913,4
923,97,61
923,97,14
923,326,288
923,326,84
923,326,14
923,375,61
923,375,14
923,563,288
923,563,14
923,563,56
923,692,14
923,819,52
923,819,14
923,1091,288
923,1091,14
923,1126,61
923,1126,14
923,1166,52
923,1166,61
923,1166,14
923,1204,290
923,1204,56
923,1415,288
923,1415,42
923,1415,14
923,1465,14
923,1578,86
923,1643,61
923,1643,86
923,1958,288
923,1958,14
927,42,6
927,42,4
927,42,14
927,439,61
927,573,-1
927,576,4
927,576,15
927,643,61
927,643,4
927,643,45
927,643,15
927,913,61
927,913,266
927,913,4
927,913,45
927,913,14
927,1010,101
927,1010,4
927,1010,45
927,1010,51
927,1311,-1
927,1409,61
927,1409,14
927,1478,4
927,1478,0
927,1478,45
927,1578,4
927,1698,14
927,1698,4
927,1698,45
927,1698,15
927,1708,61
927,1708,4
927,1708,45
927,1962,14
927,1962,0
927,2019,14
927,2019,4
927,2019,51
933,729,61
933,729,4
933,729,45
933,841,51
933,864,4
933,864,45
933,881,16
933,985,82
933,1058,4
933,1058,45
933,1235,51
933,1558,4
933,1726,-1
933,1762,16
933,1791,4
933,1838,-1
933,1869,61
933,1869,16
933,1905,61
933,1905,16
933,1905,4
933,1905,45
933,2016,4
933,2016,45
947,279,61
947,279,4
947,279,55
947,327,14
947,327,4
947,373,4
947,399,4
947,591,61
947,591,14
947,591,318
947,694,61
947,694,4
947,694,14
947,989,4
947,989,13
947,1298,4
947,1422,61
947,1422,14
947,1451,55
947,1464,4
947,1464,318
947,1518,4
947,1820,4
947,1820,49
947,1906,-1
947,2001,61
947,2001,14
947,2001,318
951,8,61
951,8,14
951,8,56
951,149,14
951,269,14
951,269,4
951,401,51
951,562,61
951,562,4
951,562,51
951,698,14
951,698,4
951,698,18
951,698,56
951,713,61
951,713,16
951,713,14
951,745,61
951,745,16
951,745,14
951,976,51
951,976,56
951,1083,4
951,1191,-1
951,1267,14
951,1267,4
951,1271,4
951,1299,61
951,1299,4
951,1299,18
951,2021,51
953,117,16
953,192,4
953,192,45
953,192,52
953,192,0
953,192,86
953,199,4
953,199,45
953,570,4
953,570,45
953,574,4
953,642,16
953,642,4
953,642,45
953,642,9
953,642,0
953,651,4
953,651,0
953,756,4
953,756,0
953,756,45
953,973,-1
953,1079,4
953,1079,86
953,1152,16
953,1404,4
953,1404,86
953,1404,45
953,1626,4
953,1626,0
953,1626,9
953,1803,16
953,1861,9
958,158,61
958,158,4
958,158,51
958,177,120
958,177,4
958,264,4
958,450,120
958,450,61
958,450,508
958,494,14
958,494,4
958,516,14
958,873,4
958,873,51
958,943,61
958,943,4
958,943,14
958,1140,61
958,1140,4
958,1205,14
958,1289,14
958,1536,4
958,1605,61
958,1605,4
958,1728,-1
958,1751,51
960,0,4
960,53,14
960,53,31
960,112,4
960,112,45
960,112,51
960,292,51
960,407,61
960,407,4
960,407,45
960,407,51
960,407,55
960,429,72
960,491,61
960,491,4
960,757,4
960,757,45
960,757,84
960,774,-1
960,1160,61
960,1186,-1
960,1383,-1
960,1427,-1
960,1954,61
960,1954,72
960,1954,31
960,1954,14
960,1963,4
960,1963,55
960,1963,51
998,109,-1
998,175,-1
998,189,4
998,189,56
998,294,4
998,294,86
998,643,4
998,643,18
998,643,56
998,729,4
998,732,72
998,732,56
998,1010,101
998,1010,4
998,1010,51
998,1010,56
998,1051,595
998,1252,4
998,1252,18
998,1325,72
998,1394,4
998,1394,72
998,1394,270
998,1779,4
998,1779,270
998,1835,72
998,1886,4
998,1886,72
1011,297,4
1011,486,4
1011,486,45
1011,771,4
1011,771,45
1011,888,16
1011,888,4
